Campaign name,Ad Group Name,Ad Name,Date,Cost,CPC (Destination),CPM,Impression,Clicks (Destination),CTR (Destination),Conversions,CPA,Currency
K | ABO | 01-11-2023 | testing,Ad group 20231101110340,2 TALENT.mov_2023-11-01 23:22:35,2023-11-02,14836,3709,10507,1412,4,0.28,0,0,IDR
K | ABO | 01-11-2023 | testing,Ad group 20231101110340,2 TALENT.mov_2023-11-01 23:22:35,2023-11-03,28080,3510,9298,3020,8,0.26,0,0,IDR
K | ABO | 01-11-2023 | testing,Ad group 20231101110340,2 TALENT.mov_2023-11-01 23:22:35,2023-11-04,9567,9567,13324,718,1,0.14,0,0,IDR
K | ABO | 01-11-2023 | testing,Ad group 20231101110340,2 TALENT.mov_2023-11-01 23:22:35,2023-11-05,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_001,2023-06-30,511,0,7514,68,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_001,2023-07-02,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_002,2023-06-30,486,0,7476,65,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_003,2023-06-30,69,0,4058,17,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_004,2023-06-30,2444,0,11314,216,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_005,2023-06-30,4523,4523,18845,240,1,0.42,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_005,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_005,2023-07-04,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_006,2023-06-30,630,0,7325,86,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_006,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-06-30,42051,3234,11192,3757,13,0.35,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-07-02,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-07-03,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-07-04,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_010,2023-07-05,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-06-30,99773,3563,19621,5085,28,0.55,3,33257,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-07-02,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-07-03,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-07-04,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_011,2023-07-05,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_012,2023-06-30,16011,3202,29431,544,5,0.92,1,16011,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_012,2023-07-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-24,66913,2389,11882,5631,28,0.5,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-25,150858,2601,11046,13657,58,0.42,3,50286,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-26,183658,3601,15019,12228,51,0.42,4,45914,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-27,58119,1490,7313,7947,39,0.49,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-28,274,137,4419,62,2,3.23,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-29,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-30,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-07-31,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_017,2023-08-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-24,167524,2538,14284,11728,66,0.56,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-25,281351,2731,13154,21388,103,0.48,4,70337,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-26,336001,2823,16473,20397,119,0.58,3,112000,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-27,329300,1995,10157,32420,165,0.51,2,164650,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-28,1633,0,11500,142,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-29,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-30,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-07-31,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_018,2023-08-01,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-24,5833,5833,16571,352,1,0.28,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-25,20626,5156,16607,1242,4,0.32,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-26,21265,10632,17854,1191,2,0.17,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-27,7241,1810,10433,694,4,0.58,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-28,15,0,7500,2,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-29,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-30,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-07-31,0,0,0,0,0,0.0,0,0,IDR
Konversi 24 Juli 23 SCA,Ad group 20230630091924,2023-06-30 09:24:11_019,2023-08-01,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-19,67739,4233,14010,4835,16,0.33,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-20,65202,4346,15520,4201,15,0.36,1,65202,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-21,46118,3547,13668,3374,13,0.39,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-22,16856,3371,19924,846,5,0.59,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-23,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-24,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-25,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:06:38,2023-07-26,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-19,75918,4217,10358,7329,18,0.25,1,75918,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-19,31212,10404,7852,3975,3,0.08,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-20,134238,3121,13115,10235,43,0.42,2,67119,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-20,502,0,12550,40,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-21,153590,3490,12766,12031,44,0.37,1,153590,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-21,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-22,34356,4908,14557,2360,7,0.3,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-22,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-23,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-23,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-24,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-24,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-25,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-26,0,0,0,0,0,0.0,0,0,IDR
spark 19 Juli 23,Ad group 20230719010515,2023-07-19 13:07:29,2023-07-27,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-05,28520,2592,6949,4104,11,0.27,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-06,22335,1489,8034,2780,15,0.54,1,22335,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-07,37481,2677,7983,4695,14,0.3,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-08,21228,1769,11708,1813,12,0.66,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-09,4010,4010,12531,320,1,0.31,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-10,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-11,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-12,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:34,2023-08-13,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-05,25701,6425,9281,2769,4,0.14,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-06,9807,3269,7608,1289,3,0.23,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-07,6645,1661,8508,781,4,0.51,1,6645,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-08,10627,1771,13333,797,6,0.75,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-09,22958,2869,12593,1823,8,0.44,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-10,24556,3508,10602,2316,7,0.3,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-11,3103,1034,9666,321,3,0.93,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-12,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-13,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-14,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-15,0,0,0,0,0,0.0,0,0,IDR
Konversi spark ads 05 agst 23,Ad group 20230805092356,2023-08-05 09:24:44,2023-08-16,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-25,260203,2738,11830,21995,95,0.43,1,260203,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-25,180597,2579,12099,14926,70,0.47,1,180597,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-25,87669,1414,9854,8896,62,0.7,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-25,63493,3023,11979,5300,21,0.4,2,31746,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-25,8356,1671,7500,1114,5,0.45,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-26,114568,1975,13196,8682,58,0.67,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-26,110113,3336,22802,4829,33,0.68,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-26,106537,2879,13750,7748,37,0.48,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-26,61415,3838,12171,5046,16,0.32,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-26,7765,1553,10071,771,5,0.65,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-27,251296,2111,13732,18299,119,0.65,4,62824,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-27,147127,3421,13878,10601,43,0.41,2,73563,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-27,1350,0,10384,130,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-27,485,0,20208,24,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-27,103,0,9363,11,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-28,362758,1374,9135,39709,264,0.66,5,72551,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-28,45767,2408,14937,3064,19,0.62,1,45767,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-28,405,0,8804,46,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-28,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-28,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-29,310959,871,5695,54602,357,0.65,5,62191,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-29,39300,2183,9857,3987,18,0.45,1,39300,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-29,993,0,11413,87,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-29,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-29,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-30,381025,1858,10752,35435,205,0.58,6,63504,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-30,57111,4079,21831,2616,14,0.54,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-30,923,0,10858,85,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-30,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-30,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-31,284161,1457,6501,43709,195,0.45,2,142080,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-31,34198,2137,7243,4721,16,0.34,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-31,2393,0,7478,320,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2023-12-31,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-01,281593,1513,7861,35819,186,0.52,1,281593,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-01,94577,3940,12622,7493,24,0.32,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-01,7749,1937,14816,523,4,0.76,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-01,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-02,390725,1808,10424,37482,216,0.58,5,78145,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-02,76532,3188,12525,6110,24,0.39,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-02,31461,6292,15825,1988,5,0.25,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-03,294590,1275,9292,31703,231,0.73,2,147295,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-03,29631,3703,13617,2176,8,0.37,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-03,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-04,475944,1888,10269,46346,252,0.54,5,95188,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-04,16502,5500,9946,1659,3,0.18,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-04,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-05,332746,1680,8712,38192,198,0.52,2,166373,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-05,7412,2470,8588,863,3,0.35,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-05,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-06,285777,2342,11796,24226,122,0.5,1,285777,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-06,14091,3522,12927,1090,4,0.37,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-06,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-07,311773,1924,10682,29185,162,0.56,2,155886,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-07,29056,2421,10554,2753,12,0.44,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-07,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-08,258558,2462,10758,24032,105,0.44,1,258558,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-08,76640,2642,12535,6114,29,0.47,2,38320,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-08,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-09,133621,3611,15122,8836,37,0.42,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-09,112653,2964,13911,8098,38,0.47,1,112653,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-10,35596,3559,14856,2396,10,0.42,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-10,33814,3757,15163,2230,9,0.4,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-10,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-11,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-11,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-12,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-12,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-13,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-13,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-14,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-14,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-15,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-15,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-01-23,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-02-10,0,0,0,0,0,0.0,0,0,IDR
K | ABO | 25-12-2023 | testing,Ad group 20231220020141,2023-12-24 21:00:45,2024-03-10,0,0,0,0,0,0.0,0,0,IDR
